,Output Freq,Input Freq,Uplink Tone,Downlink Tone,Lat,Long,Call,,,IRLP
,145.47000,144.87000,203.5,203.5,33.20980072,-87.56919861,KX4I,,1,
,145.49000,144.89000,,,33.96680069,-86.00319672,K4RBC,1,,
,145.56250,145.56250,,,30.64777800,-87.90527800,WB4CNL,1,,
,146.48000,146.48000,156.7,156.7,34.18569946,-86.85430145,N4LX,1,1,4742
,146.60500,146.00500,,,33.20529938,-87.52760315,W4KCQ,1,,
,146.61000,146.01000,100.0,100.0,34.66260147,-87.69670105,KF4GZI,1,1,
,146.62000,146.02000,146.2,CSQ,33.60589981,-86.41880035,K4VHF,1,1,
,146.64000,146.04000,123.0,123.0,33.83119965,-87.27749634,N4MYI,1,1,
,146.64000,146.04000,100.0,,31.28269958,-86.25550079,W4ORC,1,1,
,146.65500,146.05500,123.0,123.0,33.17319870,-86.25160217,AF4FN,1,1,
,146.67000,146.07000,103.5,,31.98460007,-86.57859802,K4TNS,1,1,
,146.67000,146.07000,100.0,100.0,34.01430130,-86.00659943,K4RBC,1,,
,146.67000,146.07000,,,31.82959938,-86.61779785,K4TNS,1,1,
,146.68000,146.08000,100.0,100.0,34.86289978,-87.53749847,WB4NQH,1,1,
,146.68500,146.08500,77.0,77.0,33.27389908,-88.06670380,K4CR,1,1,
,146.68500,146.08500,82.5,,30.36820030,-87.83499908,KI4ELU,1,1,
,146.70000,146.10000,91.5,91.5,33.95980072,-86.63939667,W4BLT,1,1,
,146.72000,146.12000,CSQ,CSQ,34.60589981,-86.98329926,W9KOP,1,,
,146.72000,146.12000,123.0,,32.47100067,-85.00080109,WA4QHN,1,1,
,146.72000,146.12000,100.0,,32.40739822,-87.02110291,N4KTX,1,1,
,146.74000,146.14000,100.0,100.0,34.82559967,-87.29470062,KJ4LEL,1,1,
,146.74000,146.14000,131.8,131.8,33.43590164,-86.10579681,N4WNL,1,1,
,146.74500,146.14500,123.0,123.0,30.60400009,-88.18730164,K4DSR,1,1,
,146.76000,146.16000,103.5,103.5,34.73860168,-87.89109802,WX4CC,1,1,
,146.76000,146.16000,88.5,,33.56990051,-86.72619629,KK4BSK,1,1,
,146.76000,146.16000,114.8,,33.49539948,-85.80829620,KK4BSK,1,1,
,146.76000,146.16000,94.8,,33.28570175,-86.80999756,KK4BSK,1,1,
,146.78000,146.18000,100.0,,33.62089920,-85.87110138,WX4CAL,1,1,
,146.78000,146.18000,123.0,123.0,31.53009987,-85.93800354,W4NQ,1,1,
,146.79000,146.19000,103.5,103.5,34.37649918,-88.05860138,WX4FC,1,1,
,146.80500,146.20500,97.4,97.4,34.79230000,-86.83220000,W4END,1,1,
,146.82000,146.22000,192.8,,34.01430130,-86.00659943,K4VMV,1,1,
,146.82000,146.22000,203.5,,30.68799973,-87.79810333,W4IAX,1,1,
,146.82000,146.22000,100.0,,31.80879974,-85.96990204,W4NQ,1,1,
,146.82000,146.22000,118.8,,33.20980072,-87.56919861,W4XI,1,1,
,146.84000,146.24000,156.7,,33.88539886,-86.83699799,WA4CYA,1,1,
,146.84000,146.24000,123.0,,32.53580093,-86.19180298,W4AP,1,1,
,146.85000,146.25000,210.7,,32.08959961,-88.22200012,KE4ROA,1,1,
,146.85000,146.25000,186.2,186.2,31.22319984,-85.39050293,WR4OG,1,1,
,146.85000,146.25000,77.0,77.0,33.92449951,-85.61139679,W4GVX,1,1,
,146.86000,146.26000,203.5,,34.91379929,-86.98349762,WV4K,1,1,
,146.86500,146.26500,131.8,,33.54729843,-85.46690369,N4THM,1,1,
,146.88000,146.28000,88.5,CSQ,33.52069855,-86.80249786,W4CUE,1,1,
,146.88000,146.28000,100.0,203.5,31.82959938,-86.61779785,K4TNS,1,1,
,146.88000,146.28000,123.0,123.0,32.46660000,-85.05601000,W4CVY,1,1,
,146.88000,146.28000,103.5,103.5,34.76509857,-87.69860077,N4GLE,1,,
,146.90000,146.30000,,,33.83119965,-87.27749634,WB4ACN,1,1,
,146.90000,146.30000,,,32.23030090,-86.08470154,W2YNE,,1,
,146.90000,146.30000,123.0,123.0,34.72710037,-86.15190125,K4SCO,1,1,
,146.92000,146.32000,77.0,CSQ,34.32783300,-86.49778000,K4AHC,1,1,
,146.92000,146.32000,,,32.40370178,-86.19680023,W4AP,1,,
,146.92500,146.32500,131.8,,33.20980072,-87.56919861,WS4I,1,1,
,146.94000,146.34000,100.0,,31.30850029,-86.48329926,WC4M,1,1,
,146.94000,146.34000,100.0,100.0,34.74509811,-86.51170349,N4HSV,1,1,
,146.94000,146.34000,CSQ,,30.70199966,-88.14360046,WB4QEV,1,1,
,146.94000,146.34000,110.9,,33.10070038,-86.86419678,KX4AA,1,1,
,146.94000,146.34000,123.0,,32.59680176,-85.23860168,WA4QHN,1,1,
,146.94000,146.34000,210.7,210.7,33.20980072,-87.56919861,N9YAY,,,
,146.96000,146.36000,179.9,179.9,32.85419846,-85.96859741,WA4KIK,1,1,
,146.96000,146.36000,107.2,,34.48120117,-87.29340363,N4IDX,1,1,8003
,146.97000,146.37000,103.5,,31.11219978,-87.02690125,WB4ARU,1,,
,146.98000,146.38000,88.5,CSQ,33.22560120,-86.71089935,W4SHL,1,1,
,146.98000,146.38000,CSQ,CSQ,34.57260132,-87.10970306,W4ATD,1,1,
,146.98000,146.38000,186.2,186.2,31.45910072,-85.64050293,WR4OG,1,1,
,147.00000,147.60000,123.0,CSQ,34.48979950,-86.62640381,W4ATD,1,1,
,147.00000,147.60000,,,32.79769897,-85.19190216,K4DXZ,1,1,
,147.00000,147.60000,210.7,,32.42291680,-88.26752770,K4QXT,1,,
,147.01500,147.61500,CSQ,CSQ,30.95759964,-88.08969879,N4RGJ,1,1,
,147.02000,147.62000,123.0,123.0,34.15280151,-88.01820374,KJ4I,1,1,
,147.02000,147.62000,250.3,,33.78340149,-86.00250244,WB4LYR,1,1,
,147.03000,147.63000,71.9,71.9,31.55769920,-85.54550171,KD4KRP,1,1,
,147.04000,147.64000,192.8,192.8,34.02539825,-87.75839996,KT4JW,1,1,
,147.04000,147.64000,CSQ,,33.15119934,-85.37220001,WD4KTY,1,1,
,147.04000,147.64000,146.2,146.2,32.40739822,-87.02110291,KI4CNI,1,1,
,147.04500,147.64500,123.0,,30.99419975,-87.75879669,WB4EMA,1,1,
,147.04500,147.64500,100.0,100.0,34.76060104,-85.60260010,N2EMA,1,1,
,147.06000,147.66000,123.0,,32.60990143,-85.48079681,KA4Y,1,1,
,147.06000,147.66000,123.0,,32.64540100,-85.37830353,WB4BYQ,1,1,
,147.06000,146.46000,179.9,,33.20980072,-87.56919861,KX4I,,1,
,147.07500,147.67500,,,31.10517790,-87.07219180,KO4ACL,1,,
,147.07500,147.67500,67.0,67.0,33.78480148,-86.71459961,W3NH,,1,8706
,147.08000,147.68000,210.7,,32.05810165,-87.78749847,W4WTG,1,1,
,147.09000,147.69000,131.8,,33.48569870,-85.80909729,WB4GNA,1,1,
,147.09000,147.69000,82.5,,30.56209946,-87.72899628,WB4EMA,1,1,
,147.10000,147.70000,103.5,,34.73040009,-86.58609772,W4VM,1,1,
,147.10500,147.70500,123.0,,32.83869934,-86.62940216,WB4UQT,1,1,
,147.12000,147.72000,123.0,123.0,32.64540100,-85.37830353,W4LEE,1,1,
,147.12000,147.72000,100.0,100.0,33.82189941,-86.91639709,KD4CIF,1,1,
,147.13000,147.73000,123.0,,31.99099922,-87.29049683,N5GEB,1,1,
,147.14000,147.74000,186.2,186.2,31.22319984,-85.39050293,KC4JBF,1,1,
,147.14000,147.74000,156.7,CSQ,33.41109848,-86.85669708,WA4CYA,1,1,
,147.14000,147.74000,100.0,100.0,34.73040009,-86.58609772,W4FMX,1,1,
,147.15000,147.75000,103.5,,30.70199966,-88.14360046,WB4BXM,1,1,
,147.15000,147.75000,123.0,,32.64540100,-85.37830353,WX4LEE,1,1,
,147.16000,147.76000,100.0,100.0,33.96839905,-86.00980377,K4JMC,1,1,
,147.16000,147.76000,167.9,,31.52790070,-87.32469940,WB4UFT,1,1,
,147.16000,147.76000,118.8,,32.99760056,-87.62999725,N4CLS,1,1,
,147.16000,147.76000,,,34.50790024,-87.72859955,WX4FC,1,1,
